ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência
74600,/elias/profil/spieler/74600,Elias,Central Midfield,29,5000000.0,Brazil,/sporting-lissabon/startseite/verein/336/saison_id/2014,Sporting CP,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,4000000.0,2014
56676,/nilton/profil/spieler/56676,Nílton,Defensive Midfield,27,5000000.0,Brazil,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,1250000.0,2014
258626,/talisca/profil/spieler/258626,Talisca,Attacking Midfield,20,400000.0,Brazil,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/benfica-lissabon/startseite/verein/294/saison_id/2014,Benfica,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,4750000.0,2014
115382,/guilherme/profil/spieler/115382,Guilherme,Defensive Midfield,23,2500000.0,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/udinese-calcio/startseite/verein/410/saison_id/2014,Udinese Calcio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,4500000.0,2014
273438,/danilo-barbosa/profil/spieler/273438,Danilo Barbosa,Defensive Midfield,18,1.0,Brazil,/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2014,Vasco da Gama,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,4500000.0,2014
270188,/lucas-evangelista/profil/spieler/270188,Lucas Evangelista,Central Midfield,19,1000000.0,Brazil,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/udinese-calcio/startseite/verein/410/saison_id/2014,Udinese Calcio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,4000000.0,2014
31645,/anderson/profil/spieler/31645,Anderson,Central Midfield,26,4000000.0,Brazil,/manchester-united/startseite/verein/985/saison_id/2014,Man Utd,/premier-league/transfers/wettbewerb/GB1/saison_id/2014,Premier League,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
73741,/souza/profil/spieler/73741,Souza,Defensive Midfield,25,4000000.0,Brazil,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0.0,2014
169052,/edenilson/profil/spieler/169052,Edenilson,Central Midfield,24,2000000.0,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/udinese-calcio/startseite/verein/410/saison_id/2014,Udinese Calcio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,3500000.0,2014
54183,/maicosuel/profil/spieler/54183,Maicosuel,Attacking Midfield,28,3000000.0,Brazil,/udinese-calcio/startseite/verein/410/saison_id/2014,Udinese Calcio,/serie-a/transfers/wettbewerb/IT1/saison_id/2014,Serie A,/clube-atletico-mineiro/startseite/verein/330/saison_id/2014,Atlético-MG,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,3000000.0,2014
68841,/marco-antonio/profil/spieler/68841,Marco Antônio,Attacking Midfield,30,400000.0,Brazil,/gremio-porto-alegre/startseite/verein/210/saison_id/2014,Grêmio,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/al-khor-sc/startseite/verein/5381/saison_id/2014,Al-Khor SC,/qatar-stars-league/transfers/wettbewerb/QSL/saison_id/2014,Stars League,0.0,2014
76848,/everton/profil/spieler/76848,Everton,Defensive Midfield,30,400000.0,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,Fortaleza,,Brazil,0.0,2014
76904,/branquinho/profil/spieler/76904,Branquinho,Attacking Midfield,32,400000.0,Brazil,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/oeste-fc-sp-/startseite/verein/21829/saison_id/2014,Oeste,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
108344,/thiago-freitas/profil/spieler/108344,Thiago Freitas,Attacking Midfield,27,400000.0,Brazil,/hapoel-rishon-lezion/startseite/verein/554/saison_id/2014,H Rishon leZion,,Israel,/ao-trachones-alimou/startseite/verein/35476/saison_id/2014,AOT Alimou,/football-league-sud/transfers/wettbewerb/GR2S/saison_id/2014,Football League South,0.0,2014
117544,/leo-costa/profil/spieler/117544,Léo Costa,Attacking Midfield,28,400000.0,Brazil,/esporte-clube-vitoria/startseite/verein/2125/saison_id/2014,EC Vitória,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/portuguesa-sao-paulo/startseite/verein/10247/saison_id/2014,Portuguesa,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
146887,/carlinhos/profil/spieler/146887,Carlinhos,Attacking Midfield,24,400000.0,Brazil,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,Madureira,,Brazil,/paysandu-sport-club-pa-/startseite/verein/6347/saison_id/2014,Paysandu,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
214148,/wellington-bruno/profil/spieler/214148,Wellington Bruno,Attacking Midfield,28,400000.0,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,Fortaleza,,Brazil,0.0,2014
214148,/wellington-bruno/profil/spieler/214148,Wellington Bruno,Attacking Midfield,28,400000.0,Brazil,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,Fortaleza,,Brazil,/coimbra-esporte-clube-ltda-mg-/startseite/verein/27323/saison_id/2014,Coimbra,,Brazil,0.0,2014
231699,/dhiego-lomba/profil/spieler/231699,Dhiego Lomba,Left Midfield,26,400000.0,Brazil,/independente-futebol-clube-sp-/startseite/verein/34153/saison_id/2014,Independente-SP,,Brazil,/iraklis-psachnon/startseite/verein/29962/saison_id/2014,Ira. Psachnon,/football-league-sud/transfers/wettbewerb/GR2S/saison_id/2014,Football League South,0.0,2014
27371,/rodrigo-paulista/profil/spieler/27371,Rodrigo Paulista,Attacking Midfield,30,350000.0,Brazil,/zhejiang-yiteng/startseite/verein/29171/saison_id/2014,HRB Yiteng,/china-league-one/transfers/wettbewerb/CLO/saison_id/2014,League One,/guizhou-fc/startseite/verein/36628/saison_id/2014,GZ Zhicheng,/china-league-one/transfers/wettbewerb/CLO/saison_id/2014,League One,0.0,2014
33542,/balu/profil/spieler/33542,Balú,Defensive Midfield,30,350000.0,Brazil,/panachaiki-ge/startseite/verein/1837/saison_id/2014,Panachaiki,/football-league/transfers/wettbewerb/GR2/saison_id/2014,Football League,/panserraikos/startseite/verein/3385/saison_id/2014,Panserraikos,/football-league/transfers/wettbewerb/GR2/saison_id/2014,Football League,0.0,2014
75369,/assis/profil/spieler/75369,Assis,Left Midfield,30,350000.0,Brazil,/fk-qabala/startseite/verein/22010/saison_id/2014,FK Qabala,/premyer-liqasi/transfers/wettbewerb/AZ1/saison_id/2014,Premyer Liqa,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0.0,2014
75369,/assis/profil/spieler/75369,Assis,Left Midfield,30,350000.0,Brazil,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/clube-recreativo-e-atletico-catalano-go-/startseite/verein/12602/saison_id/2014,CRAC (GO),,Brazil,0.0,2014
75369,/assis/profil/spieler/75369,Assis,Left Midfield,31,350000.0,Brazil,/clube-recreativo-e-atletico-catalano-go-/startseite/verein/12602/saison_id/2014,CRAC (GO),,Brazil,/cuiaba-ec-mt-/startseite/verein/28022/saison_id/2014,Cuiabá-MT,,Brazil,0.0,2014
226155,/carlinhos/profil/spieler/226155,Carlinhos,Attacking Midfield,20,350000.0,Brazil,/sc-internacional-porto-alegre-u20/startseite/verein/15083/saison_id/2014,Inter U20,,Brazil,/atletico-monte-azul-sp-/startseite/verein/25671/saison_id/2014,Monte Azul,,Brazil,0.0,2014
363175,/marciel/profil/spieler/363175,Marciel,Central Midfield,19,1.0,Brazil,/unbekannt/startseite/verein/75/saison_id/2014,Unknown,,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,341000.0,2014
55499,/ivotm/profil/spieler/55499,Ivo,Attacking Midfield,28,300000.0,Brazil,/incheon-united/startseite/verein/2996/saison_id/2014,Incheon Utd.,/k-league-1/transfers/wettbewerb/RSK1/saison_id/2014,K League 1,/henan-songshan-longmen/startseite/verein/9982/saison_id/2014,HN Jianye,/chinese-super-league/transfers/wettbewerb/CSL/saison_id/2014,Super League,300000.0,2014
31128,/marcinho/profil/spieler/31128,Marcinho,Attacking Midfield,34,300000.0,Brazil,/associacao-desportiva-cabofriense-rj-/startseite/verein/11932/saison_id/2014,Cabofriense,,Brazil,/amparo-atletico-clube-sp-/startseite/verein/27979/saison_id/2014,Amparo,,Brazil,0.0,2014
53062,/toro/profil/spieler/53062,Toró,Central Midfield,28,300000.0,Brazil,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sc-sagamihara/startseite/verein/23548/saison_id/2014,SC Sagamihara,/j3-league/transfers/wettbewerb/JAP3/saison_id/2014,J3 League,0.0,2014
