,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
379,58436,2015,30,24,1.00,4,2,-,5,10,6,-,-,-,389',1.554'
380,61976,2015,18,17,1.18,-,-,-,3,8,4,-,-,-,-,1.150'
381,72860,2015,14,13,1.92,2,-,-,5,8,3,-,-,-,282',564'
382,74196,2015,26,19,1.21,1,1,-,7,8,2,-,-,-,1.002',1.002'
383,96819,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,101467,2015,19,19,1.58,4,1,-,4,4,6,-,-,-,314',1.254'
385,145692,2015,27,21,0.95,3,-,-,13,5,1,-,-,1,254',761'
386,199570,2015,12,8,0.88,1,-,-,3,3,-,-,-,-,444',444'
387,225392,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,236357,2015,1,1,,-,-,-,-,-,1,-,-,-,-,90'
389,238043,2015,41,36,1.08,2,1,-,9,17,1,-,-,-,1.076',2.152'
390,243835,2015,40,32,0.66,1,-,-,5,8,6,1,-,-,2.332',2.332'
391,349166,2015,22,20,1.05,1,-,-,17,2,2,-,-,-,667',667'
392,61428,2015,2,2,0.50,1,-,-,-,-,1,-,-,-,180',180'
393,288499,2015,17,10,1.60,1,2,-,3,5,1,-,-,-,591',591'
394,213606,2015,34,20,1.85,1,-,-,4,11,6,-,-,-,1.270',1.270'
395,140682,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,53359,2015,30,21,2.57,1,-,-,12,8,4,-,-,-,795',795'
397,167291,2015,40,40,1.78,8,4,-,2,11,5,-,-,-,400',3.200'
398,242808,2015,32,29,2.10,1,7,-,11,14,8,-,-,-,1.567',1.567'
399,54183,2015,43,43,1.26,7,4,-,7,18,3,-,-,-,461',3.224'
400,55489,2015,46,45,1.38,5,4,-,3,23,11,-,-,-,664',3.322'
401,212899,2015,38,24,1.92,2,1,-,9,6,5,-,-,2,643',1.285'
402,323934,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,338861,2015,52,36,1.47,4,-,-,18,16,2,-,-,-,420',1.679'
404,29261,2015,30,30,1.87,6,17,-,-,8,5,-,-,3,441',2.646'
405,129670,2015,51,46,1.63,-,3,-,7,3,11,-,-,-,-,3.683'
406,144789,2015,53,48,1.65,7,4,-,5,5,8,-,-,-,546',3.824'
407,166483,2015,47,46,1.28,7,3,-,5,12,1,-,-,-,516',3.613'
408,31127,2015,32,31,2.16,5,-,-,1,12,4,-,-,-,487',2.437'
409,103674,2015,38,36,1.08,5,9,-,4,3,8,-,-,-,595',2.975'
410,112624,2015,50,48,1.48,1,-,-,2,7,17,-,-,-,3.989',3.989'
411,144752,2015,45,42,1.98,7,5,-,3,15,11,-,-,-,471',3.300'
412,71080,2015,38,38,1.34,2,1,-,-,4,9,-,-,-,1.664',3.328'
413,27378,2015,41,35,2.00,4,6,-,17,17,3,-,-,1,393',1.570'
414,30946,2015,49,31,1.39,3,1,-,4,17,5,-,-,1,748',2.243'
415,55499,2015,32,32,1.28,6,9,-,2,1,7,-,-,2,469',2.812'
416,228206,2015,60,44,1.30,1,-,-,8,17,9,-,-,-,3.139',3.139'
417,334632,2015,36,36,1.78,-,-,-,-,4,15,-,-,-,-,3.200'
418,48669,2015,27,27,1.41,12,6,-,1,6,4,-,-,2,199',2.382'
419,74198,2015,40,30,1.57,2,3,-,12,8,-,-,-,-,883',1.766'
420,432953,2015,33,24,1.54,3,3,-,2,13,3,-,-,-,597',1.790'
421,55253,2015,1,1,,-,-,-,-,1,-,-,-,-,-,75'
422,292160,2015,33,25,1.44,4,-,-,2,7,9,-,1,-,483',1.933'
423,85753,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,107259,2015,45,44,1.86,10,8,-,1,9,5,-,-,-,376',3.763'
425,236952,2015,30,12,2.17,3,-,-,10,1,2,-,-,-,125',376'
426,135984,2015,42,42,1.02,2,4,-,3,9,7,-,-,-,1.769',3.537'
427,24337,2015,26,25,1.32,4,7,-,2,12,1,-,-,-,489',1.957'
428,45720,2015,11,11,1.27,1,4,-,3,4,-,-,-,-,678',678'
429,52976,2015,32,20,1.30,1,-,-,3,7,5,-,-,-,1.464',1.464'
430,53757,2015,39,23,1.22,2,1,-,11,6,2,-,-,-,606',1.212'
431,68784,2015,51,45,1.69,2,1,-,3,8,15,2,-,-,1.875',3.749'
432,99516,2015,40,28,1.21,-,-,-,15,7,2,-,-,-,-,1.348'
433,105512,2015,40,40,1.48,5,5,-,3,16,5,1,-,-,624',3.118'
434,149946,2015,32,13,1.31,-,-,-,2,10,3,-,-,-,-,766'
435,155351,2015,45,42,1.48,2,1,-,9,22,12,-,-,-,1.272',2.544'
436,19206,2015,30,23,1.26,1,1,-,4,5,4,-,1,-,1.602',1.602'
437,211176,2015,3,3,,-,-,-,1,-,-,-,-,-,-,225'
438,191314,2015,29,29,1.03,5,9,-,3,6,2,-,-,3,466',2.330'
439,52514,2015,13,5,1.80,-,-,-,2,2,-,-,-,-,-,245'
440,111667,2015,30,21,0.86,1,1,-,4,16,5,-,-,-,1.254',1.254'
441,187030,2015,33,24,1.33,1,-,-,10,5,3,-,-,-,1.326',1.326'
442,22448,2015,40,39,1.74,6,2,-,3,5,7,-,1,1,532',3.193'
443,54980,2015,30,20,1.40,1,-,-,9,9,4,-,-,-,993',993'
444,54989,2015,35,34,1.59,-,-,-,-,6,6,-,-,-,-,2.824'
445,68822,2015,25,14,1.86,-,-,-,11,1,1,-,-,-,-,472'
446,81509,2015,12,12,1.08,4,8,-,-,5,2,-,-,2,249',995'
447,101310,2015,31,19,0.68,1,2,-,11,7,-,1,-,-,652',652'
448,137225,2015,30,23,1.43,11,-,-,5,5,3,1,-,5,150',1.649'
449,179046,2015,7,6,1.83,-,-,-,5,1,2,-,-,-,-,180'
450,216118,2015,68,29,1.76,2,1,-,8,5,8,1,-,-,931',1.862'
451,271187,2015,55,50,0.92,4,-,-,3,4,6,-,-,-,1.056',4.223'
452,271329,2015,23,22,1.64,2,1,-,3,10,9,-,-,-,815',1.629'
453,346935,2015,49,25,0.96,-,1,-,10,9,7,-,1,-,-,1.336'
454,225432,2015,38,33,1.36,4,6,-,2,18,4,-,1,-,602',2.409'
455,27303,2015,38,37,1.41,5,6,-,1,12,5,-,-,-,583',2.913'
456,52710,2015,39,34,1.82,1,2,1,4,12,6,-,-,-,2.483',2.483'
457,64635,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,73912,2015,31,8,1.25,1,2,-,5,1,-,-,-,-,343',343'
459,27371,2015,26,26,1.27,12,4,-,1,3,8,-,1,2,187',2.240'
460,45423,2015,23,4,1.75,-,-,-,2,2,-,-,-,-,-,132'
461,102238,2015,25,19,1.68,2,2,-,7,5,4,-,-,-,578',1.156'
462,42764,2015,26,26,1.42,4,1,-,-,9,6,-,-,-,560',2.240'
463,76090,2015,31,26,1.54,-,1,-,8,3,5,-,-,-,-,1.656'
464,79132,2015,23,21,2.00,1,1,-,4,15,4,-,-,-,1.325',1.325'
465,80151,2015,34,30,0.87,-,-,1,-,4,9,-,-,-,-,2.663'
466,81946,2015,19,15,1.67,2,2,-,1,13,2,-,-,-,481',961'
467,122878,2015,4,3,,-,-,-,1,1,-,-,-,-,-,113'
468,154990,2015,36,32,2.47,2,1,-,2,2,8,1,-,-,1.303',2.606'
469,283865,2015,37,37,1.95,3,3,-,-,2,6,-,-,-,1.101',3.304'
470,953,2015,14,13,0.92,4,-,-,-,8,6,-,-,1,261',1.044'
471,52751,2015,24,13,1.31,-,-,-,7,5,3,-,-,-,-,636'
472,55273,2015,28,27,1.37,2,2,-,10,16,3,-,-,-,708',1.415'
473,56674,2015,45,39,1.87,10,8,-,7,15,3,-,-,-,279',2.794'
474,80444,2016,36,36,1.89,14,9,-,5,22,2,-,-,-,181',2.533'
475,57229,2016,29,29,2.07,12,5,-,-,-,1,-,-,-,218',2.610'
476,294873,2016,34,32,1.78,2,3,-,1,5,10,-,-,-,1.384',2.768'
477,447661,2016,25,24,1.50,3,-,-,-,1,5,-,1,-,699',2.096'
478,10471,2016,33,32,1.38,-,-,-,1,1,8,1,-,-,-,2.794'
479,232847,2016,46,45,1.67,3,17,-,1,10,15,-,-,-,1.286',3.859'
480,51174,2016,45,27,2.26,-,-,-,17,1,4,-,-,-,-,1.103'
481,135617,2016,27,26,1.50,5,3,-,2,5,5,1,-,-,419',2.096'
482,54375,2016,38,38,2.11,17,13,-,3,7,1,-,1,3,188',3.190'
483,499721,2016,61,56,1.30,7,2,-,9,14,9,-,-,-,614',4.297'
484,41414,2016,44,32,2.13,1,3,-,12,4,4,-,-,-,1.780',1.780'
485,67917,2016,44,43,1.67,-,1,-,1,4,15,-,-,-,-,3.699'
486,312314,2016,27,27,1.52,1,1,-,1,1,6,-,-,-,2.354',2.354'
487,115382,2016,37,34,0.97,2,1,-,7,6,7,-,-,-,1.241',2.481'
488,110326,2016,53,49,1.29,1,-,-,8,6,4,-,1,-,3.755',3.755'
489,17663,2016,43,34,1.79,5,1,-,8,11,8,-,-,-,473',2.366'
490,200558,2016,64,60,1.15,2,5,-,8,15,11,1,1,-,2.268',4.535'
491,53286,2016,41,27,2.07,2,1,-,11,10,2,-,-,-,725',1.449'
492,490432,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,236549,2016,3,3,,-,-,-,1,-,1,-,-,-,-,208'
494,333028,2016,12,11,1.45,2,1,-,4,6,1,-,-,-,311',621'
495,288498,2016,35,31,1.13,4,2,-,7,15,4,-,-,-,521',2.085'
496,16159,2016,29,22,1.14,1,-,-,5,10,3,-,-,-,1.411',1.411'
497,20402,2016,34,29,1.34,-,-,-,6,8,6,1,-,-,-,1.931'
498,27363,2016,37,9,1.00,-,-,-,7,3,1,-,-,-,-,275'
499,53275,2016,19,8,2.13,-,-,-,4,2,1,-,-,-,-,352'
500,55273,2016,1,1,,-,-,-,-,-,-,-,-,-,-,90'
501,72861,2016,17,15,1.67,1,-,-,1,9,5,-,-,-,1.106',1.106'
502,99496,2016,41,36,1.69,4,3,-,9,7,6,-,-,-,616',2.464'
503,101692,2016,14,9,0.89,-,-,-,9,-,1,-,-,-,-,92'
504,146887,2016,18,15,1.53,2,-,-,3,7,-,-,-,-,483',966'
