,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
143,224863,2014,30,24,1.92,2,2,-,2,2,4,1,-,1,965',1.929'
144,53765,2014,36,36,1.17,2,6,-,-,3,8,-,-,-,1.595',3.190'
145,55266,2014,30,17,1.47,1,-,-,4,4,2,-,-,-,1.156',1.156'
146,80045,2014,41,41,1.88,10,1,1,2,2,3,-,-,4,360',3.599'
147,174869,2014,22,22,1.95,-,-,-,-,-,4,-,-,-,-,1.980'
148,178734,2014,37,32,1.53,-,3,-,10,3,2,-,-,-,-,2.197'
149,74453,2014,18,18,1.22,2,-,-,-,-,5,-,-,-,810',1.620'
150,34394,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,37621,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,37792,2014,34,34,1.76,4,-,-,-,-,5,1,-,-,761',3.045'
153,53842,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,56095,2014,13,11,1.27,-,-,-,-,7,6,-,-,-,-,849'
155,87156,2014,22,22,0.77,-,2,-,-,3,1,-,-,-,-,1.906'
156,149919,2014,12,10,1.60,-,-,-,-,3,-,-,-,-,-,798'
157,152044,2014,45,44,1.66,2,2,-,3,1,7,1,-,-,1.832',3.663'
158,182323,2014,11,9,1.22,-,-,-,2,-,3,-,-,-,-,674'
159,209319,2014,33,26,1.69,-,5,-,6,1,7,-,-,-,-,1.872'
160,210714,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,349520,2014,49,49,1.67,4,-,1,-,2,8,1,-,-,1.087',4.346'
162,116829,2014,30,29,0.79,2,2,-,5,2,2,1,-,2,1.121',2.242'
163,69441,2014,50,46,1.24,-,7,-,3,7,5,-,1,-,-,3.705'
164,75109,2014,9,9,2.22,1,-,-,2,-,-,-,-,-,653',653'
165,75288,2014,2,1,1.00,-,-,-,-,-,1,-,-,-,-,90'
166,108611,2014,22,18,2.06,1,-,-,2,3,-,-,-,-,1.406',1.406'
167,130616,2014,15,13,0.77,1,-,-,3,1,3,-,-,-,909',909'
168,166032,2014,39,33,1.27,2,-,-,1,1,7,-,-,-,1.416',2.831'
169,178373,2014,8,7,1.57,1,-,-,-,-,3,-,1,-,619',619'
170,255805,2014,21,10,2.30,1,-,-,5,1,2,-,-,-,485',485'
171,240828,2014,22,21,1.19,4,-,-,1,2,7,-,-,-,454',1.816'
172,420064,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,11950,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,20386,2014,23,7,0.57,-,-,-,1,1,2,-,-,-,-,551'
175,29368,2014,27,27,1.33,4,10,-,-,4,7,-,-,2,590',2.361'
176,34632,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,47412,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,47539,2014,9,5,1.20,-,-,-,3,1,-,-,-,-,-,100'
179,48386,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,54273,2014,15,13,1.77,1,1,-,-,6,5,-,-,1,1.113',1.113'
181,56727,2014,32,32,1.56,1,-,1,1,1,12,1,1,-,2.771',2.771'
182,56761,2014,17,16,1.25,-,-,-,-,-,3,-,-,-,-,1.440'
183,56929,2014,31,31,1.29,1,-,-,8,3,7,1,-,-,2.328',2.328'
184,68302,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,76686,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,83757,2014,2,1,1.00,-,-,-,-,-,-,-,-,-,-,90'
187,85408,2014,27,22,1.05,4,1,1,-,1,4,-,-,-,488',1.953'
188,101193,2014,11,6,1.67,-,1,-,-,2,2,-,-,-,-,481'
189,101195,2014,34,34,1.74,3,-,1,1,-,9,-,2,-,1.014',3.041'
190,137713,2014,1,1,,-,-,-,-,-,1,-,-,-,-,90'
191,152922,2014,32,19,1.37,1,1,-,1,1,4,-,1,-,1.614',1.614'
192,211300,2014,15,4,1.00,-,-,-,2,1,-,-,-,-,-,233'
193,224444,2014,6,3,1.33,-,-,-,2,-,1,-,-,-,-,155'
194,238048,2014,15,13,2.00,-,-,-,5,-,3,-,-,-,-,814'
195,347283,2014,23,22,1.50,-,1,-,2,5,6,-,-,-,-,1.723'
196,267814,2014,33,24,0.83,1,3,-,1,5,7,-,-,-,1.964',1.964'
197,373150,2014,30,29,1.48,-,-,1,2,-,6,1,-,-,-,2.450'
198,104540,2014,15,13,0.77,1,-,-,6,3,2,-,-,-,753',753'
199,104205,2014,30,24,1.75,-,-,1,-,1,3,-,2,-,-,1.973'
200,149249,2014,23,19,2.32,2,-,-,3,3,2,1,-,-,708',1.416'
201,220793,2014,48,48,1.77,1,4,-,-,7,7,-,-,-,4.136',4.136'
202,59333,2014,24,23,1.61,2,1,-,4,3,3,-,-,-,821',1.642'
203,148666,2014,40,31,0.84,-,-,-,2,-,6,-,-,-,-,2.664'
204,56601,2014,41,41,1.51,3,2,1,-,1,6,-,-,-,1.225',3.674'
205,149752,2014,58,56,1.66,8,2,-,1,1,11,1,-,-,613',4.902'
206,13835,2014,14,14,1.79,3,-,-,-,-,2,-,2,2,408',1.223'
207,55270,2014,48,40,1.85,4,2,-,2,3,12,-,-,-,843',3.371'
208,137745,2014,41,38,1.47,-,3,-,1,2,7,1,-,-,-,3.330'
209,80499,2014,16,11,2.27,2,-,-,1,2,2,-,-,-,456',912'
210,140748,2014,36,32,1.00,4,5,-,2,2,10,1,-,3,682',2.728'
211,175792,2014,49,47,2.00,2,1,-,7,3,12,1,-,-,1.833',3.665'
212,401527,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,322588,2014,17,17,1.71,-,-,-,2,2,4,-,-,-,-,1.425'
214,52513,2014,53,21,2.05,1,1,-,5,-,2,1,-,-,1.498',1.498'
215,149577,2014,38,36,1.56,1,-,-,-,1,8,-,-,-,3.231',3.231'
216,231614,2014,12,9,2.22,-,2,-,-,1,1,-,1,-,-,788'
217,185966,2014,53,52,1.44,-,5,-,-,1,5,1,-,-,-,4.632'
218,193135,2014,59,36,1.81,3,-,-,5,1,8,-,1,-,956',2.869'
219,55346,2014,35,34,1.21,5,-,-,-,-,5,-,-,-,612',3.060'
220,45025,2014,2,2,0.50,-,-,-,-,-,2,-,-,-,-,180'
221,54312,2014,19,14,1.29,-,1,-,1,3,3,-,-,-,-,1.128'
222,76100,2014,41,36,1.33,2,2,1,1,6,6,1,-,-,1.510',3.019'
223,119434,2014,2,-,,-,-,-,-,-,-,-,-,-,-,-
224,176140,2014,39,35,1.46,-,-,-,-,2,4,2,2,-,-,3.020'
225,54275,2014,8,7,1.00,1,-,-,4,2,1,-,-,-,311',311'
226,195604,2014,32,18,0.72,-,2,-,8,3,4,-,-,-,-,983'
227,75083,2014,59,29,2.17,-,3,-,8,1,9,-,-,-,-,2.122'
228,67838,2014,55,23,1.74,-,-,-,7,3,3,-,-,-,-,1.517'
229,52322,2014,27,23,2.00,1,-,-,2,4,6,-,-,-,1.860',1.860'
230,132568,2014,44,39,1.49,-,3,-,2,1,13,-,-,-,-,3.354'
231,64870,2014,53,40,1.30,3,1,-,1,-,11,-,-,-,1.185',3.555'
232,15018,2014,25,16,1.69,1,2,-,5,-,2,-,-,-,1.082',1.082'
233,19695,2014,41,32,1.59,1,1,-,3,1,4,-,-,-,2.645',2.645'
234,31753,2014,23,17,1.29,-,-,-,1,1,3,-,1,-,-,1.405'
235,45549,2014,56,52,1.04,9,-,-,2,1,6,-,1,-,500',4.502'
236,52828,2014,40,38,1.50,1,1,-,-,4,10,-,-,-,3.296',3.296'
237,72451,2014,39,36,1.00,-,4,-,1,2,8,-,-,-,-,3.128'
238,167471,2014,44,14,1.64,-,2,-,5,2,1,-,-,-,-,900'
239,175239,2014,19,15,1.40,1,-,-,-,-,5,-,-,-,1.350',1.350'
240,55250,2014,15,15,1.93,1,-,-,-,-,5,-,-,-,1.350',1.350'
241,32804,2014,13,7,2.14,-,1,-,-,1,1,1,-,-,-,598'
242,75118,2014,19,12,1.50,1,-,-,2,2,3,-,-,-,889',889'
243,80144,2014,34,27,1.56,1,1,-,2,1,6,-,-,-,2.335',2.335'
244,124543,2014,35,34,1.68,4,1,-,-,-,6,-,1,2,758',3.033'
245,175208,2014,39,37,0.76,1,-,1,1,2,10,-,-,-,3.219',3.219'
246,190168,2014,42,20,2.00,1,-,-,-,2,10,-,-,-,1.748',1.748'
247,1599,2014,37,25,1.76,2,1,-,-,4,2,1,-,-,1.035',2.070'
248,15419,2014,64,32,2.09,2,-,-,7,1,3,-,-,-,1.201',2.402'
