0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
21,/carlinhos/profil/spieler/41417,Carlinhos,Carlinhos,/carlinhos/profil/spieler/41417,Carlinhos,Left-Back,27,€3.50m,Brazil,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2014,,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2014,,/fluminense-rio-de-janeiro/startseite/verein/2462/saison_id/2014,Fluminense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,,/fc-sao-paulo/startseite/verein/585/saison_id/2014,São Paulo,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
22,/felipe-santana/profil/spieler/54312,Felipe Santana,Felipe Santana,/felipe-santana/profil/spieler/54312,Felipe Santana,Centre-Back,28,€3.50m,Brazil,/fc-schalke-04/startseite/verein/33/saison_id/2014,,/fc-schalke-04/startseite/verein/33/saison_id/2014,,/fc-schalke-04/startseite/verein/33/saison_id/2014,FC Schalke 04,/bundesliga/transfers/wettbewerb/L1/saison_id/2014,Bundesliga,/olympiakos-piraus/startseite/verein/683/saison_id/2014,,/olympiakos-piraus/startseite/verein/683/saison_id/2014,,/olympiakos-piraus/startseite/verein/683/saison_id/2014,Olympiacos,/super-league-1/transfers/wettbewerb/GR1/saison_id/2014,Super League 1,loan transfer
23,/douglao/profil/spieler/55255,Douglão,Douglão,/douglao/profil/spieler/55255,Douglão,Centre-Back,28,€3.20m,Brazil,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/akhisarspor/startseite/verein/19771/saison_id/2014,,/akhisarspor/startseite/verein/19771/saison_id/2014,,/akhisarspor/startseite/verein/19771/saison_id/2014,Akhisar Belediye,/super-lig/transfers/wettbewerb/TR1/saison_id/2014,Süper Lig,?
24,/manoel/profil/spieler/113586,Manoel,Manoel,/manoel/profil/spieler/113586,Manoel,Centre-Back,24,€750k,Brazil,/club-athletico-paranaense/startseite/verein/679/saison_id/2014,,/club-athletico-paranaense/startseite/verein/679/saison_id/2014,,/club-athletico-paranaense/startseite/verein/679/saison_id/2014,Atlético-PR,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,,/ec-cruzeiro-belo-horizonte/startseite/verein/609/saison_id/2014,Cruzeiro,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,€3.00m
25,/cleber-reis/profil/spieler/226009,Cléber Reis,Cléber Reis,/cleber-reis/profil/spieler/226009,Cléber Reis,Centre-Back,23,€1.00m,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/hamburger-sv/startseite/verein/41/saison_id/2014,,/hamburger-sv/startseite/verein/41/saison_id/2014,,/hamburger-sv/startseite/verein/41/saison_id/2014,Hamburger SV,/bundesliga/transfers/wettbewerb/L1/saison_id/2014,Bundesliga,€3.00m
226,/luis-gustavo/profil/spieler/291451,Luís Gustavo,Luís Gustavo,/luis-gustavo/profil/spieler/291451,Luís Gustavo,Centre-Back,22,€350k,Brazil,/gd-estoril-praia/startseite/verein/1465/saison_id/2014,,/gd-estoril-praia/startseite/verein/1465/saison_id/2014,,/gd-estoril-praia/startseite/verein/1465/saison_id/2014,Estoril Praia,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,Madureira,Brazil,free transfer,
227,/luis-gustavo/profil/spieler/291451,Luís Gustavo,Luís Gustavo,/luis-gustavo/profil/spieler/291451,Luís Gustavo,Centre-Back,22,€350k,Brazil,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,,/madureira-esporte-clube-rj-/startseite/verein/4907/saison_id/2014,Madureira,Brazil,/clube-atletico-penapolense-sp-/startseite/verein/27475/saison_id/2014,,/clube-atletico-penapolense-sp-/startseite/verein/27475/saison_id/2014,,/clube-atletico-penapolense-sp-/startseite/verein/27475/saison_id/2014,Penapolense,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2014,Paulistão A1 - Primeira Fase,?,
228,/alcides/profil/spieler/3835,Alcides,Alcides,/alcides/profil/spieler/3835,Alcides,Centre-Back,29,€300k,Brazil,/associacao-ferroviaria-de-esportes-sp-/startseite/verein/15882/saison_id/2014,,/associacao-ferroviaria-de-esportes-sp-/startseite/verein/15882/saison_id/2014,,/associacao-ferroviaria-de-esportes-sp-/startseite/verein/15882/saison_id/2014,Ferroviária,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,loan transfer,
229,/gabriel-santos/profil/spieler/11950,Gabriel Santos,Gabriel Santos,/gabriel-santos/profil/spieler/11950,Gabriel Santos,Centre-Back,32,€300k,Brazil,/caldas-novas-atletico-clube-go-/startseite/verein/40184/saison_id/2014,,/caldas-novas-atletico-clube-go-/startseite/verein/40184/saison_id/2014,,/caldas-novas-atletico-clube-go-/startseite/verein/40184/saison_id/2014,Caldas Novas,Brazil,/ad-recreativa-cultural-icasa-ce-/startseite/verein/16441/saison_id/2014,,/ad-recreativa-cultural-icasa-ce-/startseite/verein/16441/saison_id/2014,,/ad-recreativa-cultural-icasa-ce-/startseite/verein/16441/saison_id/2014,Icasa,Brazil,free transfer,,
230,/adailton/profil/spieler/18699,Adailton,Adailton,/adailton/profil/spieler/18699,Adailton,Centre-Back,31,€300k,Brazil,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/chicago-fire-fc/startseite/verein/432/saison_id/2014,,/chicago-fire-fc/startseite/verein/432/saison_id/2014,,/chicago-fire-fc/startseite/verein/432/saison_id/2014,Chicago,/major-league-soccer/transfers/wettbewerb/MLS1/saison_id/2014,MLS,free transfer
231,/adailton/profil/spieler/18699,Adailton,Adailton,/adailton/profil/spieler/18699,Adailton,Centre-Back,31,€300k,Brazil,/fc-sion/startseite/verein/321/saison_id/2014,,/fc-sion/startseite/verein/321/saison_id/2014,,/fc-sion/startseite/verein/321/saison_id/2014,FC Sion,/super-league/transfers/wettbewerb/C1/saison_id/2014,Super League,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,,/esporte-clube-bahia/startseite/verein/10010/saison_id/2014,EC Bahia,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,free transfer
232,/gladstone/profil/spieler/20386,Gladstone,Gladstone,/gladstone/profil/spieler/20386,Gladstone,Centre-Back,30,€300k,Brazil,/itumbiara-esporte-clube-go-/startseite/verein/12421/saison_id/2014,,/itumbiara-esporte-clube-go-/startseite/verein/12421/saison_id/2014,,/itumbiara-esporte-clube-go-/startseite/verein/12421/saison_id/2014,Itumbiara-GO,Brazil,/guarani-fc-sp-/startseite/verein/1755/saison_id/2014,,/guarani-fc-sp-/startseite/verein/1755/saison_id/2014,,/guarani-fc-sp-/startseite/verein/1755/saison_id/2014,Guarani,Brazil,free transfer,,
233,/elvis/profil/spieler/23167,Élvis,Élvis,/elvis/profil/spieler/23167,Élvis,Centre-Back,36,€300k,Brazil,/fc-famalicao/startseite/verein/3329/saison_id/2014,,/fc-famalicao/startseite/verein/3329/saison_id/2014,,/fc-famalicao/startseite/verein/3329/saison_id/2014,Famalicão,Portugal,/ccd-santa-eulalia-vizela/startseite/verein/34326/saison_id/2014,,/ccd-santa-eulalia-vizela/startseite/verein/34326/saison_id/2014,,/ccd-santa-eulalia-vizela/startseite/verein/34326/saison_id/2014,Santa Eulália,Portugal,free transfer,,
234,/andre-bahia/profil/spieler/27032,André Bahia,André Bahia,/andre-bahia/profil/spieler/27032,André Bahia,Centre-Back,31,€300k,Brazil,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,Botafogo,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/shonan-bellmare/startseite/verein/8457/saison_id/2014,,/shonan-bellmare/startseite/verein/8457/saison_id/2014,,/shonan-bellmare/startseite/verein/8457/saison_id/2014,Shonan Bellmare,/j1-league-first-stage-93-95-97-04-15-16-/transfers/wettbewerb/JL11/saison_id/2014,J1 - 1st Stage,?
235,/anderson/profil/spieler/34152,Anderson,Anderson,/anderson/profil/spieler/34152,Anderson,Left-Back,31,€300k,Brazil,/esporte-clube-sao-joao-da-barra-rj-/startseite/verein/35998/saison_id/2014,,/esporte-clube-sao-joao-da-barra-rj-/startseite/verein/35998/saison_id/2014,,/esporte-clube-sao-joao-da-barra-rj-/startseite/verein/35998/saison_id/2014,São João-RJ,Brazil,/sao-cristovao-de-futebol-e-regatas-rj-/startseite/verein/15281/saison_id/2014,,/sao-cristovao-de-futebol-e-regatas-rj-/startseite/verein/15281/saison_id/2014,,/sao-cristovao-de-futebol-e-regatas-rj-/startseite/verein/15281/saison_id/2014,São Cristóvão,Brazil,?,,
236,/claudio/profil/spieler/34730,Cláudio,Cláudio,/claudio/profil/spieler/34730,Cláudio,Centre-Back,37,€300k,Brazil,/fc-vizela/startseite/verein/6912/saison_id/2014,,/fc-vizela/startseite/verein/6912/saison_id/2014,,/fc-vizela/startseite/verein/6912/saison_id/2014,Vizela,Portugal,/cd-trofense/startseite/verein/3348/saison_id/2014,,/cd-trofense/startseite/verein/3348/saison_id/2014,,/cd-trofense/startseite/verein/3348/saison_id/2014,Trofense,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,loan transfer,
