0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
21,/conrado/profil/spieler/265796,Conrado,Conrado,/conrado/profil/spieler/265796,Conrado,Goalkeeper,23,€500k,Brazil,/cd-trofense/startseite/verein/3348/saison_id/2014,,/cd-trofense/startseite/verein/3348/saison_id/2014,,/cd-trofense/startseite/verein/3348/saison_id/2014,Trofense,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/sampaio-correa-futebol-e-esporte-rj-/startseite/verein/40120/saison_id/2014,,/sampaio-correa-futebol-e-esporte-rj-/startseite/verein/40120/saison_id/2014,,/sampaio-correa-futebol-e-esporte-rj-/startseite/verein/40120/saison_id/2014,Sampaio-RJ,Brazil,?,
22,/ricardo-berna/profil/spieler/11858,Ricardo Berna,Ricardo Berna,/ricardo-berna/profil/spieler/11858,Ricardo Berna,Goalkeeper,36,€400k,Brazil,/macae-esporte-futebol-clube-rj-/startseite/verein/4906/saison_id/2014,,/macae-esporte-futebol-clube-rj-/startseite/verein/4906/saison_id/2014,,/macae-esporte-futebol-clube-rj-/startseite/verein/4906/saison_id/2014,Macaé,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,,/fortaleza-esporte-clube/startseite/verein/10870/saison_id/2014,Fortaleza,Brazil,?,
23,/diogo-silva/profil/spieler/186398,Diogo Silva,Diogo Silva,/diogo-silva/profil/spieler/186398,Diogo Silva,Goalkeeper,28,€400k,Brazil,/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2014,,/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2014,,/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2014,Vasco da Gama,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/xv-de-piracicaba/startseite/verein/55335/saison_id/2014,,/xv-de-piracicaba/startseite/verein/55335/saison_id/2014,,/xv-de-piracicaba/startseite/verein/55335/saison_id/2014,XV Piracicaba,/campeonato-paulista-serie-a1-grunddurchgang/transfers/wettbewerb/BCP1/saison_id/2014,Paulistão A1 - Primeira Fase,loan transfer
24,/christian-leite/profil/spieler/45023,Christian Leite,Christian Leite,/christian-leite/profil/spieler/45023,Christian Leite,Goalkeeper,28,€300k,Brazil,/fc-winterthur/startseite/verein/242/saison_id/2014,,/fc-winterthur/startseite/verein/242/saison_id/2014,,/fc-winterthur/startseite/verein/242/saison_id/2014,FC Winterthur,/challenge-league/transfers/wettbewerb/C2/saison_id/2014,Challenge League,/fc-thun/startseite/verein/938/saison_id/2014,,/fc-thun/startseite/verein/938/saison_id/2014,,/fc-thun/startseite/verein/938/saison_id/2014,FC Thun,/super-league/transfers/wettbewerb/C1/saison_id/2014,Super League,free transfer
25,/lauro/profil/spieler/54146,Lauro,Lauro,/lauro/profil/spieler/54146,Lauro,Goalkeeper,34,€300k,Brazil,/chapecoense/startseite/verein/17776/saison_id/2014,,/chapecoense/startseite/verein/17776/saison_id/2014,,/chapecoense/startseite/verein/17776/saison_id/2014,Chapecoense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,free transfer
26,/luiz-carlos/profil/spieler/67974,Luiz Carlos,Luiz Carlos,/luiz-carlos/profil/spieler/67974,Luiz Carlos,Goalkeeper,26,€300k,Brazil,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2014,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,loan transfer
27,/victor-golas/profil/spieler/122844,Victor Golas,Victor Golas,/victor-golas/profil/spieler/122844,Victor Golas,Goalkeeper,23,€300k,Brazil,/sporting-lissabon-b/startseite/verein/10949/saison_id/2014,,/sporting-lissabon-b/startseite/verein/10949/saison_id/2014,,/sporting-lissabon-b/startseite/verein/10949/saison_id/2014,Sporting B,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,free transfer
28,/gideao/profil/spieler/175247,Gideão,Gideão,/gideao/profil/spieler/175247,Gideão,Goalkeeper,26,€300k,Brazil,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,Náutico,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/moreirense-fc/startseite/verein/979/saison_id/2014,,/moreirense-fc/startseite/verein/979/saison_id/2014,,/moreirense-fc/startseite/verein/979/saison_id/2014,Moreirense,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,loan transfer
29,/helton-leite/profil/spieler/175383,Helton Leite,Helton Leite,/helton-leite/profil/spieler/175383,Helton Leite,Goalkeeper,24,€300k,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,,/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2014,Botafogo,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,?
30,/matheus-inacio/profil/spieler/225132,Matheus Inácio,Matheus Inácio,/matheus-inacio/profil/spieler/225132,Matheus Inácio,Goalkeeper,22,€300k,Brazil,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,,/aa-ponte-preta/startseite/verein/1134/saison_id/2014,Ponte Preta,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,?
