,ID,nome_hifen,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao
20,27346,Marcelo-Boeck,right,"Nov 28, 1984 (40)",Santa Cruz,"2, Belgium, Brazil","1,91 m",0,0
21,52880,Felipe,right,"Feb 22, 1984 (40)",Rio de Janeiro,"2, Brazil, Luxembourg","1,89 m",3,0
22,68102,Renan,right,"May 18, 1989 (35)",Rio de Janeiro,"2, Brazil, Bulgaria","1,90 m",0,0
23,20394,Artur-Moraes,right,"Jan 25, 1981 (43)",Leme,"2, Brazil, Italy","1,93 m",0,0
24,44177,Rafael-Bracali,right,"May 5, 1981 (43)",Santos,"2, Brazil, Portugal","1,85 m",0,0
25,103370,Adriano-Facchini,right,"Mar 12, 1983 (41)",Xaxim (SC),"2, Brazil, Italy","1,87 m",0,0
26,140604,Klever,right,"Jun 20, 1989 (35)",Mirassol,"1, Brazil","1,89 m",0,0
27,269686,Oliveira,right,"Oct 17, 1981 (43)",Carlópolis,"1, Brazil","1,89 m",0,0
28,54338,Luis-Carlos,right,"Jul 28, 1987 (37)",Curitiba,"1, Brazil","1,90 m",0,0
29,175247,Gideao,right,"Dec 19, 1987 (37)",Vitória,"1, Brazil","1,90 m",0,0
30,212215,Ivan,right,"Dec 12, 1984 (40)",Espinosa,"1, Brazil","1,87 m",0,0
31,377799,Airton,right,"May 29, 1994 (30)",São Marcos,"1, Brazil","1,88 m",0,0
32,33735,Pecanha,left,"Jan 11, 1980 (45)",São Gonçalo,"2, Brazil, Portugal","1,81 m",0,0
33,105470,Alisson,right,"Oct 2, 1992 (32)",Novo Hamburgo,"2, Brazil, England","1,93 m",70,0
34,53015,Marcelo-Lomba,right,"Dec 18, 1986 (38)",Rio de Janeiro,"1, Brazil","1,89 m",0,0
35,91953,Sidao,right,"Dec 24, 1982 (42)",São Paulo,"1, Brazil","1,88 m",0,0
36,101552,Fernando-de-Jesus,right,"Jul 7, 1984 (40)",Rio de Janeiro,"1, Brazil","1,89 m",0,0
37,45372,Gottardi,right,"Jul 22, 1985 (39)",Encantado,"2, Brazil, Portugal","1,93 m",0,0
38,84467,Rafael,right,"Mar 3, 1982 (42)",São Paulo,"2, Brazil, Italy","1,87 m",0,0
39,101466,Marcio,right,"Jan 24, 1981 (43)",Aracaju,"1, Brazil","1,84 m",0,0
40,11858,Ricardo-Berna,right,"Jun 11, 1979 (45)",São Paulo,"2, Brazil, Portugal","1,89 m",0,0
41,91296,Assis,N/A,"Oct 4, 1989 (35)",Garibaldi,"2, Brazil, Portugal","1,87 m",0,0
42,189682,Felipe-Alves,left,"May 21, 1988 (36)",São Paulo,"1, Brazil","1,87 m",0,0
43,412610,Marcelo-Rangel,right,"May 17, 1988 (36)",Marechal Cândido ...,"1, Brazil","1,86 m",0,0
44,53036,Edson,right,"Sep 24, 1985 (39)",Unaí,"1, Brazil","1,89 m",0,0
45,84363,Milton-Raphael,right,"May 11, 1991 (33)",Volta Redonda,"1, Brazil","1,90 m",3,0
46,42373,Diego-Alves,left,"Jun 24, 1985 (39)",Rio de Janeiro,"2, Brazil, Italy","1,87 m",10,0
47,69400,Weverton,right,"Dec 13, 1987 (37)",Rio Branco,"1, Brazil","1,89 m",10,0
48,371231,Jean,left,"Oct 26, 1995 (29)",Salvador,"2, Brazil, Paraguay","1,88 m",1,0
49,374094,Douglas-Friedrich,right,"Dec 12, 1988 (36)",Candelária,"1, Brazil","1,94 m",0,0
50,291963,Fernando-Miguel,left,"Feb 2, 1985 (39)",Venâncio Aires,"2, Brazil, Germany","1,91 m",0,0
51,27364,Renan-Soares,right,"Jan 24, 1985 (39)",Viamão,"1, Brazil","1,86 m",0,0
52,67886,Paulo-Victor,left,"Jan 12, 1987 (38)",Assis,"3, Brazil, Italy, Qatar","1,87 m",0,0
53,212198,Vana-Alves,right,"Apr 25, 1991 (33)",Planaltina,"3, Brazil, Cyprus, Portugal","1,94 m",0,0
54,512344,Jandrei,right,"Mar 1, 1993 (31)",Itaqui,"2, Brazil, Italy","1,86 m",0,0
55,75102,Denis,left,"Apr 14, 1987 (37)",Jaú,"1, Brazil","1,88 m",0,0
56,95142,Renan-Ribeiro,right,"Mar 23, 1990 (34)",Ribeirão Preto,"2, Brazil, United States","1,93 m",0,0
57,27349,Muriel,left,"Feb 14, 1987 (37)",Novo Hamburgo,"2, Brazil, Germany","1,89 m",4,0
58,68408,Joao-Carlos,right,"Apr 6, 1988 (36)",Paranavaí,"1, Brazil","1,91 m",0,0
59,149582,Emerson,right,"Aug 3, 1982 (42)",Rancharia,"1, Brazil","1,87 m",0,0
60,52953,Felipe-Garcia,right,"Jan 10, 1988 (37)",São Vicente,"1, Brazil","1,93 m",0,0
61,190909,Huanderson,right,"Aug 3, 1983 (41)",Goiânia,"1, Brazil","1,87 m",0,0
62,347017,Tony-Batista,right,"Sep 25, 1992 (32)",Rio Verde,"2, Brazil, Iran","1,94 m",0,0
63,351229,Marcos,right,"May 17, 1993 (31)",Cidade Gaúcha,"1, Brazil","1,85 m",0,0
64,479211,Elias,right,"Jul 12, 1995 (29)",Vacaria,"1, Brazil","1,86 m",0,0
65,581915,Gianluca,both,"Mar 17, 1997 (27)",Criciúma,"2, Brazil, Italy","1,90 m",0,0
66,371247,Gabriel-Brazao,right,"Oct 5, 2000 (24)",Uberlândia,"1, Brazil","1,92 m",0,0
67,52313,Marcelo-Grohe,right,"Jan 13, 1987 (38)",Campo Bom,"3, Brazil, Italy, Saudi Arabia","1,88 m",2,0
