,ID,Perfil,Nome,Posição,Idade,Valor de Mercado,Nacionalidade,URL Clube Antigo,Clube Antigo,URL Liga Antiga,Liga Antiga,URL Clube Novo,Clube Novo,URL Liga Nova,Liga Nova,Valor Transferência,Ano da Tranferência,pe,data_nasc,local_nasc,cidadania,altura,convocacoes,gols_selecao,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,gols_sofridos,clean_sheets,minutos
20,54323,/wilson/profil/spieler/54323,Wilson,Goalkeeper,38,500000,Brazil,/coritiba-fc/startseite/verein/776/saison_id/2021,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2021,Série A,/figueirense-fc/startseite/verein/4064/saison_id/2021,Figueirense FC,,Brazil,0,2021,right,"Jan 31, 1984 (40)",Santo André,"1, Brazil",1.85,0,0,2020,49,48,1.6,,0,,,,2,,,47,17,4320
21,28502,/julio-cesar/profil/spieler/28502,Júlio César,Goalkeeper,30,500000,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2014,Náutico,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0,2014,left,"Oct 27, 1984 (40)",São Paulo,"1, Brazil",1.85,0,0,2013,33,24,1.33,,0,,,,2,,,28,7,2160
22,99439,/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Goalkeeper,26,500000,Brazil,/corinthians-sao-paulo/startseite/verein/199/saison_id/2014,Corinthians,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/sport-club-do-recife/startseite/verein/8718/saison_id/2014,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0,2014,right,"Apr 3, 1988 (36)",Guarulhos,"1, Brazil",1.88,0,0,2013,42,,,,0,,,,,,,,,
23,99439,/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Goalkeeper,28,2500000,Brazil,/sport-club-do-recife/startseite/verein/8718/saison_id/2015,Sport Recife,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2015,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2015,Série A,1000000,2015,right,"Apr 3, 1988 (36)",Guarulhos,"1, Brazil",1.88,0,0,2014,50,41,1.51,,0,,,,,,,44,15,3690
24,99439,/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Goalkeeper,33,750000,Brazil,/sc-internacional-porto-alegre/startseite/verein/6600/saison_id/2021,Internacional,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2021,Série A,/esporte-clube-bahia/startseite/verein/10010/saison_id/2021,EC Bahia,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2021,Série B,0,2021,right,"Apr 3, 1988 (36)",Guarulhos,"1, Brazil",1.88,0,0,2020,27,19,1.37,,0,,,,2,,1,18,9,1710
25,178942,/bruno-brigido/profil/spieler/178942,Bruno Brígido,Goalkeeper,23,500000,Brazil,/criciuma-esporte-clube/startseite/verein/7178/saison_id/2014,Criciúma EC,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,/coritiba-fc/startseite/verein/776/saison_id/2014,Coritiba FC,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,0,2014,right,"Mar 9, 1991 (33)",Criciúma,"2, Brazil, Portugal",1.87,0,0,2013,32,21,0.86,,0,,,1,,,,33,2,1833
26,45023,/christian-leite/profil/spieler/45023,Christian Leite,Goalkeeper,28,300000,Brazil,/fc-winterthur/startseite/verein/242/saison_id/2014,FC Winterthur,/challenge-league/transfers/wettbewerb/C2/saison_id/2014,Challenge League,/fc-thun/startseite/verein/938/saison_id/2014,FC Thun,/super-league/transfers/wettbewerb/C1/saison_id/2014,Super League,0,2014,,"Nov 9, 1985 (39)",Rio de Janeiro,"2, Brazil, Switzerland",,0,0,2013,30,21,1.24,,0,,,,1,,,29,7,1890
27,54146,/lauro/profil/spieler/54146,Lauro,Goalkeeper,34,300000,Brazil,/chapecoense/startseite/verein/17776/saison_id/2014,Chapecoense,/campeonato-brasileiro-serie-a/transfers/wettbewerb/BRA1/saison_id/2014,Série A,/red-bull-bragantino/startseite/verein/8793/saison_id/2014,Bragantino,/campeonato-brasileiro-serie-b/transfers/wettbewerb/BRA2/saison_id/2014,Série B,0,2014,right,"Sep 3, 1980 (44)",Andradina,"2, Brazil, Italy",1.93,0,0,2013,5,1,,,0,,,,,,,2,,90
28,122844,/victor-golas/profil/spieler/122844,Victor Golas,Goalkeeper,23,300000,Brazil,/sporting-lissabon-b/startseite/verein/10949/saison_id/2014,Sporting B,/liga-portugal-2/transfers/wettbewerb/PO2/saison_id/2014,Liga Portugal 2,/sc-braga/startseite/verein/1075/saison_id/2014,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2014,Liga NOS,0,2014,right,"Dec 27, 1990 (34)",Arapongas,"2, Brazil, Poland",1.93,0,0,2013,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
29,122844,/victor-golas/profil/spieler/122844,Victor Golas,Goalkeeper,24,300000,Brazil,/sc-braga/startseite/verein/1075/saison_id/2015,SC Braga,/liga-nos/transfers/wettbewerb/PO1/saison_id/2015,Liga NOS,/botev-plovdiv/startseite/verein/2531/saison_id/2015,Botev Plovdiv,/efbet-liga/transfers/wettbewerb/BU1/saison_id/2015,A Group,0,2015,right,"Dec 27, 1990 (34)",Arapongas,"2, Brazil, Poland",1.93,0,0,2014,13,3,1.33,,0,,,,1,,,4,1,270
