,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
118,77098,2013,33,32,1.19,6,3,-,9,19,3,-,-,-,313',1.878'
119,159100,2013,38,35,1.43,5,4,-,8,14,4,-,-,-,497',2.485'
120,179044,2013,37,37,1.22,13,1,-,6,11,1,-,1,2,213',2.766'
121,205041,2013,53,33,1.03,7,-,-,17,7,1,-,-,-,251',1.755'
122,262002,2013,30,17,1.71,2,1,-,15,2,4,-,-,-,171',341'
123,323623,2013,38,16,1.50,-,1,-,6,3,-,-,-,-,-,949'
124,54276,2013,14,14,1.07,2,2,-,5,5,1,-,-,-,398',795'
125,80568,2013,32,22,1.82,4,4,-,14,5,-,-,-,-,174',697'
126,101347,2013,28,28,1.32,9,5,-,-,5,2,-,-,2,265',2.384'
127,158843,2013,37,36,1.44,8,6,-,6,13,4,-,-,1,332',2.653'
128,241163,2013,32,31,1.48,7,3,-,8,16,4,-,-,3,297',2.082'
129,259857,2013,5,4,1.75,-,1,-,4,-,-,-,-,-,-,83'
130,44662,2013,14,14,1.00,4,2,-,-,4,2,1,-,-,310',1.239'
131,52931,2013,2,2,3.00,-,-,-,2,1,1,-,-,-,-,21'
132,143817,2013,39,39,1.51,19,5,-,-,9,11,-,-,5,179',3.398'
133,285020,2013,41,40,0.85,6,1,-,12,9,7,-,-,-,432',2.589'
134,41022,2013,30,27,0.89,5,4,-,5,14,-,-,-,-,392',1.958'
135,70513,2013,13,12,2.00,7,2,-,2,1,4,-,-,-,131',914'
136,77160,2013,31,31,1.23,12,-,-,8,5,3,-,-,3,182',2.187'
137,79950,2013,40,37,1.59,15,4,-,13,-,11,-,-,1,166',2.489'
138,51323,2013,29,29,1.48,16,2,-,4,11,6,-,-,1,133',2.134'
139,3890,2013,23,22,1.36,6,2,-,4,10,-,-,-,-,261',1.565'
140,9630,2013,30,24,1.13,-,3,-,10,8,2,-,-,-,-,1.232'
141,24888,2013,7,1,,-,-,-,1,-,-,-,-,-,-,15'
142,27434,2013,37,30,1.70,-,1,-,12,13,5,-,-,-,-,1.642'
143,33833,2013,35,34,1.18,11,4,-,3,6,3,-,-,5,257',2.825'
144,42990,2013,1,1,,-,-,-,1,-,-,-,-,-,-,19'
145,44173,2013,32,27,1.33,8,1,-,3,9,1,-,-,3,255',2.037'
146,50148,2013,28,22,1.41,1,1,-,10,9,1,-,-,-,1.126',1.126'
147,52836,2013,31,21,1.29,2,1,-,13,6,3,-,-,-,517',1.034'
148,54313,2013,6,6,2.17,1,-,-,2,3,-,-,-,-,343',343'
149,55378,2013,23,18,1.33,4,3,-,9,7,1,-,-,-,179',717'
150,58226,2013,3,3,1.00,-,-,-,1,2,-,-,-,-,-,177'
151,63399,2013,32,29,1.03,11,-,-,11,4,3,-,1,7,162',1.777'
152,67955,2013,19,18,1.22,5,1,-,2,13,4,-,-,-,246',1.230'
153,68821,2013,42,18,1.11,4,2,-,13,2,1,-,-,1,175',701'
154,71876,2013,32,26,0.92,-,2,-,12,8,1,-,-,-,-,1.456'
155,73462,2013,12,10,0.70,-,-,-,7,2,2,-,-,-,-,293'
156,79376,2013,37,26,1.65,3,1,-,18,4,3,-,-,-,352',1.055'
157,84486,2013,20,20,0.50,3,-,-,-,5,4,-,-,-,555',1.664'
158,97017,2013,27,20,0.75,2,-,-,11,6,3,-,-,-,465',929'
159,99499,2013,34,32,1.22,15,1,-,2,12,5,-,-,3,167',2.511'
160,101197,2013,26,23,1.30,10,4,-,7,5,2,-,-,1,149',1.489'
161,154901,2013,39,39,1.69,22,6,-,-,7,1,-,-,2,152',3.346'
162,155469,2013,38,32,1.72,7,1,-,18,5,2,-,-,-,203',1.424'
163,164997,2013,20,13,1.00,-,1,-,10,2,2,-,-,-,-,499'
164,66515,2014,38,37,1.95,22,4,-,5,2,7,-,-,1,138',3.035'
165,131789,2014,36,36,1.39,10,12,-,-,10,7,-,-,-,320',3.201'
166,75615,2014,35,33,1.91,5,7,-,8,16,5,-,-,-,437',2.183'
167,48974,2014,38,33,1.91,21,11,-,3,6,7,-,-,6,128',2.681'
168,177009,2014,57,55,1.87,10,4,-,8,33,6,1,1,-,382',3.824'
169,323704,2014,50,46,2.13,8,4,-,8,24,1,-,-,-,398',3.183'
170,281404,2014,1,1,3.00,-,-,-,-,-,-,-,-,-,-,90'
171,54470,2014,53,50,2.20,23,8,-,4,12,1,-,-,3,179',4.111'
172,58345,2014,36,36,1.17,14,7,-,1,4,10,1,-,-,225',3.145'
173,83886,2014,45,44,1.75,26,8,-,3,8,13,-,-,7,142',3.692'
174,15511,2014,30,29,2.31,11,2,-,2,16,5,-,-,3,206',2.271'
175,33315,2014,41,41,1.54,11,11,-,2,11,8,-,1,3,310',3.407'
176,62713,2014,22,6,0.83,-,-,-,2,3,-,-,-,-,-,312'
177,22750,2014,25,25,1.84,7,3,-,2,14,1,-,1,-,259',1.816'
178,250007,2014,39,39,1.33,10,6,-,2,12,8,1,-,3,314',3.137'
179,353108,2014,41,41,1.10,7,10,-,2,7,10,1,-,-,493',3.449'
180,76191,2014,47,45,1.56,5,7,-,18,17,5,-,1,-,488',2.439'
181,18829,2014,60,50,2.04,16,5,-,11,25,4,-,-,-,210',3.357'
182,103585,2014,38,37,1.41,12,4,-,10,16,8,-,-,1,194',2.324'
